Material,Min_Thickness,Max_Thickness,Process,Electrode,Current,Voltage,Travel_Speed_mm_min,Heat_Input_kJ_mm,Groove_Angle,Root_Gap,Passes
SA516 Grade 70,4,10,SMAW,E7018,110-130 A,22-24 V,220,0.90,60°,2.5 mm,2
SA516 Grade 70,10,20,SMAW,E7018,130-160 A,24-26 V,180,1.20,60°,3 mm,3
SA516 Grade 70,20,40,SMAW,E7018,170-220 A,26-30 V,140,1.60,70°,4 mm,4
Carbon Steel,4,20,SMAW,E7018,120-150 A,22-26 V,200,1.10,60°,3 mm,3
SS304,4,20,GTAW,ER308L,90-120 A,18-22 V,160,0.80,60°,2.5 mm,2
SS316,4,20,GTAW,ER316L,90-120 A,18-22 V,160,0.80,60°,2.5 mm,2
SA515 Grade 60,4,20,SMAW,E7018,120-160 A,22-26 V,190,1.05,60°,3 mm,3
IS 2062 Grade B,4,20,SMAW,E7018,120-160 A,22-26 V,190,1.05,60°,3 mm,3
SS321,4,20,GTAW,ER321,90-120 A,18-22 V,160,0.80,60°,2.5 mm,2
Duplex 2205,4,20,GTAW,ER2209,100-130 A,18-24 V,150,0.95,60°,2.5 mm,3
Aluminum 5083,4,20,GMAW,ER5183,150-220 A,20-24 V,300,0.55,70°,2 mm,2
